"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 05, 2022","2,254.37","2,281.89","2,325.17","2,234.29","4.23K","-1.17%"
"Feb 04, 2022","2,281.11","2,291.40","2,355.42","2,216.78","4.75K","-0.48%"
"Feb 03, 2022","2,292.04","2,140.93","2,330.10","2,127.63","3.48K","7.07%"
"Feb 02, 2022","2,140.77","2,195.03","2,310.53","2,094.87","2.86K","-2.48%"
"Feb 01, 2022","2,195.17","2,133.10","2,236.95","2,126.89","2.59K","2.88%"
"Jan 31, 2022","2,133.78","1,997.16","2,144.35","1,941.30","2.89K","6.81%"
"Jan 30, 2022","1,997.83","1,948.55","2,009.52","1,922.11","1.95K","2.54%"
"Jan 29, 2022","1,948.43","1,871.79","1,958.50","1,859.09","2.39K","4.10%"
"Jan 28, 2022","1,871.66","1,771.47","1,877.10","1,731.79","2.42K","5.66%"
"Jan 27, 2022","1,771.47","1,702.84","1,792.83","1,648.56","3.93K","4.05%"
"Jan 26, 2022","1,702.56","1,809.87","1,872.98","1,667.24","8.35K","-5.93%"
"Jan 25, 2022","1,809.87","1,922.75","1,942.28","1,796.08","6.84K","-5.87%"
"Jan 24, 2022","1,922.75","1,831.15","1,959.17","1,656.13","6.83K","5.01%"
"Jan 23, 2022","1,831.01","1,796.75","1,914.01","1,766.97","6.65K","2.02%"
"Jan 22, 2022","1,794.76","1,800.97","2,055.80","1,620.37","14.87K","-0.31%"
"Jan 21, 2022","1,800.40","1,904.52","1,916.08","1,698.60","6.04K","-5.44%"
"Jan 20, 2022","1,904.04","1,995.99","2,059.36","1,898.02","1.86K","-4.61%"
"Jan 19, 2022","1,995.99","2,062.00","2,067.01","1,994.75","2.15K","-3.19%"
"Jan 18, 2022","2,061.76","2,095.62","2,123.04","2,032.65","2.00K","-1.61%"
"Jan 17, 2022","2,095.53","2,254.23","2,267.79","2,074.57","1.86K","-7.03%"
"Jan 16, 2022","2,253.99","2,213.26","2,257.37","2,181.79","1.12K","1.84%"
"Jan 15, 2022","2,213.26","2,193.28","2,238.04","2,168.92","1.26K","0.92%"
"Jan 14, 2022","2,193.00","2,095.15","2,197.38","2,083.47","2.25K","4.67%"
"Jan 13, 2022","2,095.15","2,166.91","2,198.09","2,076.29","2.97K","-3.30%"
"Jan 12, 2022","2,166.62","2,075.13","2,179.36","2,039.93","2.60K","4.41%"
"Jan 11, 2022","2,075.17","1,987.74","2,083.77","1,973.51","2.30K","4.40%"
"Jan 10, 2022","1,987.74","2,121.44","2,146.44","1,943.26","2.99K","-6.29%"
"Jan 09, 2022","2,121.27","2,051.11","2,158.75","2,034.82","1.74K","3.44%"
"Jan 08, 2022","2,050.75","2,123.42","2,186.09","2,001.23","4.06K","-3.42%"
"Jan 07, 2022","2,123.42","2,246.31","2,252.70","2,072.79","4.26K","-5.50%"
"Jan 06, 2022","2,246.97","2,235.96","2,351.88","2,119.32","5.25K","0.55%"
"Jan 05, 2022","2,234.67","2,447.56","2,519.26","2,182.54","4.33K","-8.68%"
"Jan 04, 2022","2,447.15","2,391.54","2,526.22","2,354.81","2.77K","2.33%"
"Jan 03, 2022","2,391.45","2,460.51","2,588.27","2,380.39","3.48K","-2.69%"
"Jan 02, 2022","2,457.63","2,411.49","2,547.88","2,291.66","3.96K","1.90%"
"Jan 01, 2022","2,411.81","2,335.44","2,440.75","2,314.79","3.27K","3.24%"
"Dec 31, 2021","2,336.14","2,383.21","2,422.24","2,289.87","3.69K","-1.97%"
"Dec 30, 2021","2,382.99","2,356.22","2,438.91","2,297.47","3.25K","1.17%"
"Dec 29, 2021","2,355.32","2,490.25","2,557.59","2,327.30","3.42K","-5.42%"
"Dec 28, 2021","2,490.24","2,678.65","2,704.13","2,475.08","3.44K","-7.01%"
"Dec 27, 2021","2,678.06","2,681.24","2,793.17","2,658.94","3.67K","-0.06%"
"Dec 26, 2021","2,679.58","2,683.64","2,732.06","2,629.69","3.33K","-0.13%"
"Dec 25, 2021","2,683.01","2,565.57","2,720.24","2,552.12","1.54K","4.63%"
"Dec 24, 2021","2,564.18","2,670.38","2,682.16","2,542.94","2.52K","-3.99%"
"Dec 23, 2021","2,670.82","2,444.73","2,672.82","2,394.60","2.43K","9.25%"
"Dec 22, 2021","2,444.70","2,421.69","2,541.81","2,408.15","2.02K","0.95%"
"Dec 21, 2021","2,421.69","2,343.29","2,441.67","2,335.66","1.46K","3.24%"
"Dec 20, 2021","2,345.59","2,369.86","2,417.57","2,234.25","1.84K","-1.03%"
"Dec 19, 2021","2,370.10","2,469.73","2,502.01","2,365.40","1.25K","-4.05%"
"Dec 18, 2021","2,470.26","2,367.49","2,496.10","2,326.35","1.90K","4.45%"
"Dec 17, 2021","2,365.01","2,326.98","2,384.27","2,211.48","1.44K","1.64%"
"Dec 16, 2021","2,326.85","2,378.41","2,435.30","2,311.03","1.10K","-2.12%"
"Dec 15, 2021","2,377.22","2,304.34","2,419.84","2,205.71","1.57K","3.17%"
"Dec 14, 2021","2,304.08","2,231.09","2,319.60","2,165.86","1.64K","3.27%"
"Dec 13, 2021","2,231.09","2,468.21","2,479.38","2,204.25","1.54K","-9.65%"
"Dec 12, 2021","2,469.30","2,446.29","2,482.56","2,383.58","1.03K","1.03%"
"Dec 11, 2021","2,444.23","2,336.28","2,459.42","2,288.15","1.29K","4.62%"
"Dec 10, 2021","2,336.28","2,516.80","2,599.28","2,327.57","1.97K","-7.33%"
"Dec 09, 2021","2,521.21","2,739.01","2,755.31","2,499.98","2.17K","-7.95%"
"Dec 08, 2021","2,739.01","2,613.77","2,748.26","2,592.54","2.10K","4.71%"
"Dec 07, 2021","2,615.91","2,604.18","2,687.52","2,576.38","1.51K","0.34%"
"Dec 06, 2021","2,607.14","2,579.03","2,625.38","2,357.01","2.32K","1.07%"
"Dec 05, 2021","2,579.64","2,610.27","2,670.47","2,494.69","2.49K","-1.22%"
"Dec 04, 2021","2,611.42","2,750.79","2,757.46","2,263.85","5.69K","-5.02%"
"Dec 03, 2021","2,749.57","2,973.00","2,986.18","2,694.78","2.35K","-7.50%"
"Dec 02, 2021","2,972.65","2,976.82","3,044.60","2,900.57","1.48K","-0.13%"
"Dec 01, 2021","2,976.59","3,051.53","3,132.23","2,952.66","1.72K","-2.46%"
"Nov 30, 2021","3,051.70","3,084.54","3,223.98","2,967.53","3.08K","-1.06%"
"Nov 29, 2021","3,084.54","3,080.49","3,117.72","3,010.88","1.21K","0.10%"
"Nov 28, 2021","3,081.46","3,093.15","3,098.69","2,853.65","1.96K","-0.32%"
"Nov 27, 2021","3,091.45","3,090.60","3,201.11","3,017.81","1.74K","0.23%"
"Nov 26, 2021","3,084.41","3,303.71","3,414.54","2,941.66","3.73K","-6.66%"
"Nov 25, 2021","3,304.37","3,096.28","3,444.84","3,073.06","4.29K","6.69%"
"Nov 24, 2021","3,097.14","3,040.77","3,166.77","2,956.50","3.11K","1.89%"
"Nov 23, 2021","3,039.71","2,851.83","3,097.78","2,832.34","2.35K","6.59%"
"Nov 22, 2021","2,851.83","2,948.77","2,990.46","2,826.90","1.43K","-3.53%"
"Nov 21, 2021","2,956.11","3,126.28","3,142.66","2,936.08","1.80K","-5.42%"
"Nov 20, 2021","3,125.59","2,948.04","3,129.14","2,934.98","1.90K","6.03%"
"Nov 19, 2021","2,947.76","2,803.65","3,001.14","2,775.73","2.39K","4.88%"
"Nov 18, 2021","2,810.68","2,803.56","3,273.55","2,746.50","8.51K","0.19%"
"Nov 17, 2021","2,805.37","2,809.14","2,828.58","2,667.37","2.40K","-0.07%"
"Nov 16, 2021","2,807.40","3,021.62","3,021.96","2,712.08","2.72K","-7.05%"
"Nov 15, 2021","3,020.22","3,050.74","3,158.85","2,972.77","2.39K","-0.98%"
"Nov 14, 2021","3,050.09","3,118.13","3,191.72","2,934.04","2.30K","-2.26%"
"Nov 13, 2021","3,120.74","2,879.18","3,188.80","2,877.68","5.03K","8.39%"
"Nov 12, 2021","2,879.18","2,989.60","3,010.17","2,792.63","2.35K","-3.73%"
"Nov 11, 2021","2,990.67","2,959.24","3,076.35","2,907.85","2.72K","0.93%"
"Nov 10, 2021","2,963.12","3,134.58","3,211.98","2,802.24","3.55K","-5.46%"
"Nov 09, 2021","3,134.35","3,303.46","3,303.46","3,097.05","3.48K","-5.03%"
"Nov 08, 2021","3,300.43","2,971.80","3,437.73","2,954.43","7.92K","11.10%"
"Nov 07, 2021","2,970.81","3,020.14","3,059.94","2,912.41","2.96K","-1.63%"
"Nov 06, 2021","3,020.14","2,948.16","3,094.10","2,805.69","4.36K","2.50%"
"Nov 05, 2021","2,946.52","3,016.94","3,020.08","2,858.19","3.88K","-2.31%"
"Nov 04, 2021","3,016.21","3,215.68","3,241.17","2,886.52","10.12K","-6.21%"
"Nov 03, 2021","3,215.88","2,799.65","3,621.67","2,797.21","34.98K","14.82%"
"Nov 02, 2021","2,800.81","2,452.59","2,892.75","2,431.42","10.42K","14.32%"
"Nov 01, 2021","2,449.87","2,421.34","2,540.39","2,348.77","4.55K","1.19%"
"Oct 31, 2021","2,421.00","2,379.76","2,425.03","2,326.93","3.21K","1.75%"
"Oct 30, 2021","2,379.27","2,452.20","2,473.77","2,354.47","2.49K","-2.86%"
"Oct 29, 2021","2,449.34","2,380.13","2,471.11","2,366.25","3.20K","2.92%"
"Oct 28, 2021","2,379.89","2,224.04","2,413.93","2,210.76","2.67K","7.02%"
"Oct 27, 2021","2,223.74","2,459.87","2,504.20","2,208.77","5.77K","-9.60%"
"Oct 26, 2021","2,459.79","2,473.50","2,560.27","2,438.55","4.84K","-0.56%"
"Oct 25, 2021","2,473.76","2,439.10","2,480.41","2,428.50","2.56K","1.42%"
"Oct 24, 2021","2,439.10","2,525.99","2,528.62","2,384.81","2.32K","-3.50%"
"Oct 23, 2021","2,527.44","2,518.83","2,544.12","2,491.41","1.16K","0.30%"
"Oct 22, 2021","2,519.77","2,570.93","2,623.16","2,499.26","1.98K","-2.02%"
"Oct 21, 2021","2,571.79","2,593.62","2,704.97","2,548.38","3.55K","-0.82%"
"Oct 20, 2021","2,593.14","2,491.85","2,597.88","2,460.68","2.28K","4.06%"
"Oct 19, 2021","2,491.85","2,508.64","2,525.45","2,444.46","1.91K","-0.66%"
"Oct 18, 2021","2,508.44","2,551.27","2,575.86","2,432.23","2.23K","-1.69%"
"Oct 17, 2021","2,551.65","2,592.81","2,635.33","2,476.39","1.38K","-1.55%"
"Oct 16, 2021","2,591.79","2,569.40","2,682.67","2,557.00","2.07K","0.89%"
"Oct 15, 2021","2,568.98","2,543.35","2,596.37","2,470.76","2.23K","1.05%"
"Oct 14, 2021","2,542.41","2,492.29","2,614.50","2,479.83","2.32K","2.00%"
"Oct 13, 2021","2,492.55","2,439.73","2,493.15","2,370.94","2.26K","2.17%"
"Oct 12, 2021","2,439.55","2,447.69","2,503.14","2,357.51","3.19K","-0.36%"
"Oct 11, 2021","2,448.40","2,457.33","2,559.16","2,396.58","2.43K","-0.36%"
"Oct 10, 2021","2,457.33","2,573.14","2,724.57","2,440.62","5.13K","-4.50%"
"Oct 09, 2021","2,573.09","2,497.99","2,618.47","2,469.58","2.68K","3.20%"
"Oct 08, 2021","2,493.21","2,497.75","2,575.75","2,459.10","2.40K","-0.17%"
"Oct 07, 2021","2,497.34","2,488.18","2,536.06","2,418.35","2.34K","0.36%"
"Oct 06, 2021","2,488.36","2,542.37","2,586.30","2,388.18","3.12K","-2.17%"
"Oct 05, 2021","2,543.48","2,546.24","2,591.12","2,482.67","2.74K","-0.11%"
"Oct 04, 2021","2,546.24","2,541.81","2,554.91","2,372.89","3.02K","0.17%"
"Oct 03, 2021","2,541.81","2,478.31","2,615.40","2,434.32","2.73K","2.51%"
"Oct 02, 2021","2,479.62","2,443.30","2,556.48","2,386.53","3.82K","1.48%"
"Oct 01, 2021","2,443.57","2,287.82","2,471.95","2,265.94","5.72K","6.78%"
"Sep 30, 2021","2,288.52","2,230.43","2,314.39","2,215.68","2.93K","2.60%"
"Sep 29, 2021","2,230.45","2,227.92","2,314.72","2,176.34","3.22K","0.11%"
"Sep 28, 2021","2,227.92","2,243.86","2,429.28","2,214.20","5.05K","-0.72%"
"Sep 27, 2021","2,244.04","2,353.50","2,420.75","2,236.97","4.22K","-4.64%"
"Sep 26, 2021","2,353.14","2,259.92","2,566.89","2,162.59","15.25K","4.13%"
"Sep 25, 2021","2,259.84","2,294.74","2,324.76","2,202.05","2.21K","-1.51%"
"Sep 24, 2021","2,294.39","2,489.26","2,505.22","2,156.37","5.91K","-7.83%"
"Sep 23, 2021","2,489.17","2,526.82","2,568.44","2,453.15","3.62K","-1.40%"
"Sep 22, 2021","2,524.59","2,289.45","2,541.05","2,264.10","2.17K","10.50%"
"Sep 21, 2021","2,284.77","2,435.43","2,539.77","2,230.19","3.58K","-6.16%"
"Sep 20, 2021","2,434.80","2,768.31","2,773.14","2,391.87","5.15K","-11.98%"
"Sep 19, 2021","2,766.09","2,838.91","2,875.27","2,726.32","1.59K","-2.58%"
"Sep 18, 2021","2,839.41","2,788.25","2,901.92","2,754.97","1.54K","1.86%"
"Sep 17, 2021","2,787.56","2,967.89","2,992.14","2,756.69","4.78K","-6.05%"
"Sep 16, 2021","2,967.20","3,060.08","3,164.90","2,915.73","4.14K","-3.08%"
"Sep 15, 2021","3,061.54","2,922.87","3,075.92","2,826.45","3.90K","4.85%"
"Sep 14, 2021","2,919.83","2,810.20","2,942.13","2,785.64","2.58K","3.90%"
"Sep 13, 2021","2,810.20","2,876.45","2,898.39","2,629.22","2.45K","-2.30%"
"Sep 12, 2021","2,876.45","2,846.35","2,964.92","2,792.02","2.22K","1.10%"
"Sep 11, 2021","2,845.14","2,781.39","2,914.23","2,770.99","1.92K","2.29%"
"Sep 10, 2021","2,781.39","2,936.52","2,990.44","2,720.56","3.12K","-5.27%"
"Sep 09, 2021","2,936.13","3,020.90","3,093.85","2,911.70","4.03K","-2.71%"
"Sep 08, 2021","3,017.98","3,036.25","3,130.39","2,812.60","5.41K","-0.60%"
"Sep 07, 2021","3,036.25","3,619.68","3,622.77","2,782.02","7.58K","-16.12%"
"Sep 06, 2021","3,619.68","3,718.54","3,720.52","3,553.91","3.40K","-2.66%"
"Sep 05, 2021","3,718.47","3,548.11","3,719.58","3,525.72","2.65K","4.77%"
"Sep 04, 2021","3,549.32","3,647.41","3,719.68","3,539.58","2.44K","-2.69%"
"Sep 03, 2021","3,647.41","3,550.92","3,746.41","3,478.35","3.66K","2.72%"
"Sep 02, 2021","3,550.96","3,694.58","3,698.45","3,549.89","1.96K","-3.83%"
"Sep 01, 2021","3,692.21","3,522.50","3,697.92","3,424.41","3.11K","4.81%"
"Aug 31, 2021","3,522.81","3,360.65","3,568.16","3,313.50","3.56K","4.86%"
"Aug 30, 2021","3,359.42","3,452.98","3,506.76","3,310.73","2.83K","-2.71%"
"Aug 29, 2021","3,452.98","3,604.43","3,676.47","3,385.03","3.56K","-4.20%"
"Aug 28, 2021","3,604.43","3,748.31","3,778.61","3,583.27","2.29K","-3.83%"
"Aug 27, 2021","3,747.88","3,589.85","3,789.45","3,546.28","2.15K","4.56%"
"Aug 26, 2021","3,584.46","3,701.26","3,743.37","3,443.76","2.18K","-3.15%"
"Aug 25, 2021","3,701.20","3,632.64","3,749.23","3,495.76","1.96K","1.93%"
"Aug 24, 2021","3,630.97","3,877.35","3,902.61","3,595.91","2.27K","-6.35%"
"Aug 23, 2021","3,877.06","3,802.95","4,010.16","3,794.58","2.14K","1.95%"
"Aug 22, 2021","3,802.95","3,866.38","3,886.79","3,696.38","1.57K","-1.64%"
"Aug 21, 2021","3,866.42","3,814.73","3,978.79","3,701.37","3.96K","1.36%"
"Aug 20, 2021","3,814.53","3,745.95","3,857.56","3,701.83","2.09K","1.83%"
"Aug 19, 2021","3,746.05","3,515.51","3,749.28","3,445.95","2.21K","6.55%"
"Aug 18, 2021","3,515.73","3,451.04","3,636.93","3,372.11","2.18K","1.87%"
"Aug 17, 2021","3,451.04","3,575.50","3,778.77","3,433.90","2.43K","-3.48%"
"Aug 16, 2021","3,575.50","3,802.66","3,887.12","3,564.31","2.49K","-5.97%"
"Aug 15, 2021","3,802.66","3,868.94","3,882.02","3,620.07","2.29K","-1.73%"
"Aug 14, 2021","3,869.43","3,712.33","3,910.61","3,559.24","3.52K","4.23%"
"Aug 13, 2021","3,712.33","3,252.49","3,713.50","3,235.32","3.43K","14.35%"
"Aug 12, 2021","3,246.39","3,370.74","3,422.88","3,165.18","3.01K","-3.72%"
"Aug 11, 2021","3,371.72","3,392.74","3,527.90","3,338.09","2.41K","-0.70%"
"Aug 10, 2021","3,395.60","3,360.06","3,462.67","3,264.85","2.78K","0.97%"
"Aug 09, 2021","3,363.00","3,233.19","3,379.39","3,082.28","1.86K","4.00%"
"Aug 08, 2021","3,233.77","3,411.25","3,448.81","3,148.28","1.77K","-5.11%"
"Aug 07, 2021","3,407.81","3,257.41","3,475.92","3,226.11","2.90K","4.78%"
"Aug 06, 2021","3,252.22","3,287.97","3,371.98","3,112.77","3.48K","-1.01%"
"Aug 05, 2021","3,285.52","2,968.08","3,288.96","2,792.87","4.79K","10.70%"
"Aug 04, 2021","2,968.08","2,789.33","2,992.66","2,744.61","2.61K","6.49%"
"Aug 03, 2021","2,787.11","2,916.42","2,948.10","2,738.99","1.69K","-4.44%"
"Aug 02, 2021","2,916.74","2,891.39","3,028.20","2,840.14","1.96K","0.95%"
"Aug 01, 2021","2,889.22","2,974.33","3,088.34","2,889.22","1.91K","-2.86%"
"Jul 31, 2021","2,974.33","2,912.25","3,011.11","2,859.76","1.72K","2.10%"
"Jul 30, 2021","2,913.16","2,898.08","2,942.36","2,767.56","2.24K","0.51%"
"Jul 29, 2021","2,898.43","2,652.87","2,898.43","2,607.85","2.59K","9.26%"
"Jul 28, 2021","2,652.87","2,689.78","2,724.52","2,616.02","1.72K","-1.37%"
"Jul 27, 2021","2,689.78","2,594.53","2,723.45","2,507.15","2.11K","3.62%"
"Jul 26, 2021","2,595.75","2,570.17","2,842.06","2,550.66","4.20K","1.00%"
"Jul 25, 2021","2,570.17","2,509.12","2,593.70","2,461.08","1.73K","1.08%"
"Jul 24, 2021","2,542.65","2,511.66","2,554.79","2,494.23","2.16K","1.20%"
"Jul 23, 2021","2,512.44","2,438.02","2,534.71","2,401.63","2.48K","3.05%"
"Jul 22, 2021","2,438.02","2,438.24","2,474.44","2,383.19","2.30K","-0.01%"
"Jul 21, 2021","2,438.24","2,186.71","2,481.45","2,151.59","3.33K","11.50%"
"Jul 20, 2021","2,186.80","2,289.45","2,327.14","2,117.12","2.26K","-4.48%"
"Jul 19, 2021","2,289.45","2,467.61","2,478.14","2,276.65","2.12K","-7.33%"
"Jul 18, 2021","2,470.47","2,422.67","2,545.21","2,407.79","1.58K","1.97%"
"Jul 17, 2021","2,422.67","2,418.72","2,461.52","2,380.53","1.75K","0.16%"
"Jul 16, 2021","2,418.72","2,563.62","2,611.64","2,410.09","2.70K","-5.65%"
"Jul 15, 2021","2,563.62","2,514.38","2,629.30","2,451.88","5.58K","1.96%"
"Jul 14, 2021","2,514.43","2,524.50","2,577.46","2,402.53","2.11K","-0.38%"
"Jul 13, 2021","2,523.93","2,603.69","2,641.64","2,504.45","1.78K","-3.06%"
"Jul 12, 2021","2,603.69","2,667.50","2,735.21","2,570.43","2.31K","-2.37%"
"Jul 11, 2021","2,666.97","2,674.82","2,718.18","2,614.96","1.69K","-0.22%"
"Jul 10, 2021","2,672.95","2,706.49","2,774.78","2,608.27","1.67K","-1.22%"
"Jul 09, 2021","2,705.97","2,660.58","2,820.07","2,559.53","3.27K","1.71%"
"Jul 08, 2021","2,660.58","2,864.53","2,868.88","2,597.36","3.97K","-7.12%"
"Jul 07, 2021","2,864.53","2,746.23","2,940.21","2,734.45","5.43K","4.31%"
"Jul 06, 2021","2,746.23","2,748.41","3,101.34","2,725.71","6.75K","-0.24%"
"Jul 05, 2021","2,752.85","2,800.97","2,820.09","2,635.19","3.35K","-1.72%"
"Jul 04, 2021","2,800.97","2,643.22","2,904.01","2,642.68","3.00K","5.97%"
"Jul 03, 2021","2,643.22","2,581.97","2,687.30","2,525.98","2.25K","2.37%"
"Jul 02, 2021","2,581.97","2,506.63","2,592.90","2,411.83","3.03K","3.06%"
"Jul 01, 2021","2,505.21","2,676.53","2,856.97","2,482.46","8.20K","-6.40%"
"Jun 30, 2021","2,676.53","2,413.33","2,676.53","2,270.87","3.86K","10.91%"
"Jun 29, 2021","2,413.33","2,212.36","2,493.96","2,206.76","3.71K","9.08%"
"Jun 28, 2021","2,212.36","2,128.99","2,288.59","2,084.60","3.45K","3.93%"
"Jun 27, 2021","2,128.74","2,007.58","2,132.78","1,957.78","2.46K","6.04%"
"Jun 26, 2021","2,007.58","1,972.18","2,042.66","1,896.23","3.45K","1.79%"
"Jun 25, 2021","1,972.18","2,239.72","2,274.38","1,959.42","4.26K","-11.91%"
"Jun 24, 2021","2,238.83","2,314.12","2,328.02","2,068.07","4.84K","-3.25%"
"Jun 23, 2021","2,314.12","2,264.43","2,474.73","2,218.11","4.14K","2.33%"
"Jun 22, 2021","2,261.50","2,102.67","2,394.90","1,925.39","7.01K","7.55%"
"Jun 21, 2021","2,102.67","2,701.93","2,725.88","2,075.59","3.98K","-22.18%"
"Jun 20, 2021","2,701.93","2,581.81","2,743.37","2,444.48","1.75K","4.65%"
"Jun 19, 2021","2,581.81","2,685.63","2,712.97","2,577.48","1.73K","-3.86%"
"Jun 18, 2021","2,685.53","2,907.83","2,910.16","2,572.08","2.61K","-7.64%"
"Jun 17, 2021","2,907.83","2,945.65","3,067.18","2,851.85","1.59K","-1.28%"
"Jun 16, 2021","2,945.65","3,154.09","3,154.09","2,923.87","1.65K","-6.61%"
"Jun 15, 2021","3,154.09","3,197.69","3,275.34","3,104.54","1.48K","-1.37%"
"Jun 14, 2021","3,197.94","3,144.78","3,265.95","3,088.67","1.70K","1.69%"
"Jun 13, 2021","3,144.76","2,934.92","3,187.84","2,864.97","1.50K","7.19%"
"Jun 12, 2021","2,933.89","2,925.85","3,053.24","2,777.51","1.72K","0.27%"
"Jun 11, 2021","2,925.85","3,111.79","3,144.68","2,877.49","1.83K","-5.92%"
"Jun 10, 2021","3,109.91","3,329.08","3,338.67","3,047.01","2.26K","-6.57%"
"Jun 09, 2021","3,328.67","3,245.00","3,341.46","3,037.35","3.53K","2.58%"
"Jun 08, 2021","3,245.00","3,307.96","3,365.57","2,891.16","5.69K","-1.92%"
"Jun 07, 2021","3,308.41","3,613.90","3,807.21","3,280.72","3.57K","-8.53%"
"Jun 06, 2021","3,616.76","3,561.13","3,639.70","3,517.05","1.70K","1.56%"
"Jun 05, 2021","3,561.13","3,728.09","3,912.44","3,418.93","4.28K","-4.48%"
"Jun 04, 2021","3,728.09","3,657.98","3,966.26","3,446.06","9.07K","1.92%"
"Jun 03, 2021","3,657.98","3,561.71","3,716.86","3,534.78","3.43K","2.72%"
"Jun 02, 2021","3,561.02","3,594.59","3,723.62","3,509.73","2.92K","-0.93%"
"Jun 01, 2021","3,594.59","3,597.04","3,697.01","3,483.59","4.23K","-0.07%"
"May 31, 2021","3,597.04","3,306.39","3,609.12","3,166.27","4.00K","8.77%"
"May 30, 2021","3,306.99","3,057.62","3,445.88","2,848.45","4.51K","8.16%"
"May 29, 2021","3,057.62","3,247.90","3,442.40","2,869.70","4.71K","-5.86%"
"May 28, 2021","3,247.90","3,701.05","3,777.14","3,123.29","5.66K","-12.24%"
"May 27, 2021","3,701.05","3,963.04","3,963.04","3,577.84","5.11K","-6.63%"
