"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 22, 2022","9.7499","9.3413","10.1584","9.2706","3.37M","4.38%"
"Mar 21, 2022","9.3411","9.3290","9.6089","9.1715","2.60M","0.22%"
"Mar 20, 2022","9.3206","9.7393","9.7794","9.1393","2.19M","-4.30%"
"Mar 19, 2022","9.7393","9.6300","9.9597","9.5799","3.88M","1.13%"
"Mar 18, 2022","9.6301","9.2103","9.7503","9.0101","19.32M","4.56%"
"Mar 17, 2022","9.2102","9.0997","9.3999","9.0203","15.69M","1.21%"
"Mar 16, 2022","9.0997","8.7101","9.2104","8.5696","23.79M","4.47%"
"Mar 15, 2022","8.7101","8.4899","8.7899","8.1400","13.49M","2.59%"
"Mar 14, 2022","8.4899","8.2094","8.5702","8.1099","16.23M","3.42%"
"Mar 13, 2022","8.2094","8.4601","8.7499","8.1299","11.77M","-2.96%"
"Mar 12, 2022","8.4601","8.5101","8.8701","8.4596","11.86M","-0.59%"
"Mar 11, 2022","8.5101","8.6799","9.0400","8.3699","20.38M","-1.96%"
"Mar 10, 2022","8.6799","9.2100","9.2900","8.5195","18.66M","-5.76%"
"Mar 09, 2022","9.2100","8.8199","9.4501","8.7501","24.79M","4.42%"
"Mar 08, 2022","8.8200","8.3000","8.8699","8.2500","19.86M","6.01%"
"Mar 07, 2022","8.3198","8.4799","8.7900","8.1197","21.09M","-1.89%"
"Mar 06, 2022","8.4799","9.0199","9.0699","8.4500","16.17M","-5.99%"
"Mar 05, 2022","9.0199","8.8000","9.1399","8.6800","11.71M","2.61%"
"Mar 04, 2022","8.7901","9.5596","9.5695","8.6694","19.47M","-7.96%"
"Mar 03, 2022","9.5505","10.0400","10.1191","9.4296","1.97M","-4.88%"
"Mar 02, 2022","10.0401","10.3508","10.5701","9.9603","2.99M","-3.00%"
"Mar 01, 2022","10.3508","10.5390","10.8113","10.0580","4.22M","-1.79%"
"Feb 28, 2022","10.5395","9.7604","10.5395","9.3706","5.24M","7.99%"
"Feb 27, 2022","9.7598","9.0412","10.1399","8.6596","5.78M","7.96%"
"Feb 26, 2022","9.0400","9.2398","9.5447","8.9582","1.62M","-2.17%"
"Feb 25, 2022","9.2402","8.8111","9.4294","8.4600","2.25M","4.87%"
"Feb 24, 2022","8.8110","8.7219","8.9917","7.5098","6.68M","1.02%"
"Feb 23, 2022","8.7219","8.8610","9.4222","8.7190","2.23M","-1.57%"
"Feb 22, 2022","8.8610","8.5123","8.9519","8.1668","2.74M","4.11%"
"Feb 21, 2022","8.5111","9.3422","9.7507","8.5111","2.91M","-8.86%"
"Feb 20, 2022","9.3386","10.0204","10.0403","9.1990","1.79M","-6.80%"
"Feb 19, 2022","10.0204","10.1605","10.4199","9.7797","1.20M","-1.38%"
"Feb 18, 2022","10.1605","10.4084","10.6981","10.0506","1.64M","-2.39%"
"Feb 17, 2022","10.4092","11.2139","11.3783","10.2424","1.84M","-7.18%"
"Feb 16, 2022","11.2139","11.4695","11.5297","10.7914","1.79M","-2.23%"
"Feb 15, 2022","11.4695","10.6099","11.5208","10.6018","1.70M","8.08%"
"Feb 14, 2022","10.6118","10.3361","10.7013","10.1197","1.07M","2.66%"
"Feb 13, 2022","10.3365","10.6461","10.8333","10.2589","1.07M","-2.69%"
"Feb 12, 2022","10.6225","10.6593","10.9612","10.4178","1.28M","-0.34%"
"Feb 11, 2022","10.6592","11.4082","11.6583","10.3992","1.67M","-6.57%"
"Feb 10, 2022","11.4089","12.3225","12.3485","11.3712","2.99M","-7.41%"
"Feb 09, 2022","12.3225","11.9300","12.6379","11.6282","2.25M","3.29%"
"Feb 08, 2022","11.9300","12.3478","12.8995","11.5114","3.70M","-3.33%"
"Feb 07, 2022","12.3416","11.6788","12.5822","11.3886","4.39M","5.68%"
"Feb 06, 2022","11.6788","11.2494","11.7111","11.0427","1.81M","3.67%"
"Feb 05, 2022","11.2654","11.1893","11.9493","11.1219","3.04M","0.68%"
"Feb 04, 2022","11.1893","10.3894","11.1925","10.3291","3.06M","7.77%"
"Feb 03, 2022","10.3822","10.5181","10.5798","9.9767","1.88M","-1.22%"
"Feb 02, 2022","10.5101","11.1162","11.3584","10.4019","2.07M","-5.32%"
"Feb 01, 2022","11.1008","11.7701","11.8701","11.0560","2.20M","-5.69%"
"Jan 31, 2022","11.7708","10.8012","11.8811","10.3197","2.30M","8.98%"
"Jan 30, 2022","10.8012","11.1307","11.4348","10.6498","1.49M","-2.96%"
"Jan 29, 2022","11.1307","10.6675","11.2371","10.5763","1.87M","4.25%"
"Jan 28, 2022","10.6770","10.3065","10.7312","9.8639","1.87M","3.59%"
"Jan 27, 2022","10.3065","10.5600","10.9089","9.9070","3.73M","-2.40%"
"Jan 26, 2022","10.5600","10.5880","11.7435","10.3601","2.68M","-0.26%"
